"Diagnose1Formatert";"Antall"
"M542";228
"M545";213
"M5496";167
"M549";100
"M511";91
"M791";73
"M5420";38
"M501";37
"M7910";32
"M480";17
"M546";17
"M760";17
"M5422";16
"M544";12
"M751";12
"M759";11
"M754";10
"M5423";9
"M706";8
"M5416";7
"M5490";7
"M2555";6
"M5450";6
"M548";6
"M797";6
"M541";5
"M5412";5
"M4792";4
"M503";4
"M796";4
"M9951";4
"G442";3
"M2595";3
"M431";3
"M4316";3
"M5456";3
"M758";3
"R42";3
"M169";2
"M259";2
"M45";2
"M472";2
"M4722";2
"M4727";2
"M478";2
"M500";2
"M5410";2
"M5421";2
"M5494";2
"M5495";2
"M750";2
"M771";2
"M790";2
"F322";1
"F458";1
"F480";1
"G35";1
"G430";1
"G540";1
"G560";1
"G568";1
"G571";1
"M161";1
"M162";1
"M189";1
"M1901";1
"M1991";1
"M222";1
"M255";1
"M2550";1
"M2591";1
"M411";1
"M413";1
"M419";1
"M430";1
"M4300";1
"M4317";1
"M461";1
"M471";1
"M4712";1
"M4726";1
"M4786";1
"M4802";1
"M509";1
"M513";1
"M5392";1
"M54";1
"M5413";1
"M5417";1
"M5440";1
"M5446";1
"M5457";1
"M5458";1
"M5464";1
"M5468";1
"M5486";1
"M5487";1
"M5497";1
"M5498";1
"M579";1
"M629";1
"M659";1
"M709";1
"M7915";1
"M7918";1
"M798";1
"M800";1
"n";1
"R268";1
"R51";1
"R521";1
"R529";1
"S134";1
