Feltnavn;Variabelnavn;Felttype;Obligatorisk;DataDumpnavn;Gyldighet
Besøksdato;S1b_DateOfCompletion;Dato/Tid;Nei;S1b_DateOfCompletion;v1.0
Besøksdato;Person.DateOfCompletion;Dato/Tid;Nei;DateOfCompletion;v1.0
Sivilstand;Person.FamilyStatus;Enum;Ja;FamilyStatus;v1.0
;0 = Ikke svart;;;;
;1 = Gift/Reg. partner;;;;
;2 = Samboende;;;;
;3 = Enslig;;;;
Antall egne barn;Person.OwnChildren;Numerisk (heltall);Nei;OwnChildren;v1.0
Antall barn i husholdningen;Person.HouseholdChildren;Numerisk (heltall);Nei;HouseholdChildren;v1.0
Nasjonalitet;Person.NationalCountry;Enum;Ja;NationalCountry;v1.0
;0 = Ikke svart;;;;
;1 = Norge;;;;
;2 = Europa;;;;
;3 = Afrika;;;;
;4 = Asia;;;;
;5 = Nord- og Mellom Amerika;;;;
;6 = Sør Amerika;;;;
;7 = Annet;;;;
Tolk ved konsultasjon;Person.NationalInterpreter;Enum;Ja;NationalInterpreter;v1.0
;1 = Ja;;;;
;0 = Nei;;;;
Hva er din høyeste fullførte utdanning?;Person.EducationLevel;Enum;Ja;EducationLevel;v1.0
;0 = Ikke svart;;;;
;1 = Grunnskole 7-10 år, framhaldskole eller folkehøyskole;;;;
;2 = Yrkesfaglig videregående skole, yrkesskole eller realskole;;;;
;3 = Allmennfaglig videregående skole eller gymnas;;;;
;4 = Høyskole eller universitet (mindre en 4 år);;;;
;5 = Høyskole eller universitet (4 år eller mer);;;;
Hvilket yrke har du nå, eller hadde du tidligere? (før du eventuelt ble arbeidsledig, permittert, trygdet eller pensjonert);Person.Profession;Text;Nei;Profession;v1.0
Har du lese og skrivevansker?;Person.ReadWriteDifficulties;Enum;Ja;ReadWriteDifficulties;v1.0
;0 = Ikke svart;;;;
;1 = Ja, i stor grad;;;;
;2 = Ja, i noen grad;;;;
;3 = Nei;;;;
På en skala fra 0 til 10, hvor fysisk tungt arbeid har du?;Person.ProfessionalHeavy;Numerisk (heltall);Nei;ProfessionalHeavy;v1.0
På en skala fra 0 til 10, hvor ensformig arbeid har du?;Person.ProfessionalMonotonous;Numerisk (heltall);Nei;ProfessionalMonotonous;v1.0
På en skala fra 0 til 10, hvor fornøyd er du med jobben?;Person.ProfessionalSatisfied;Numerisk (heltall);Nei;ProfessionalSatisfied;v1.0
Sammenhengende varighet av nåværende smerter;Person.PainDurationNow;Enum;Ja;PainDurationNow;v1.0
;0 = Ikke svart;;;;
;1 = Ingen smerter;;;;
;2 = Mindre enn 3 måneder;;;;
;3 = 3 til 12 måneder;;;;
;4 = 1-2 år;;;;
;5 = Mer enn 2 år;;;;
Har du søkt uføretrygd?;Person.PainDisable;Enum;Ja;PainDisable;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Har du søkt erstatning?;Person.PainCompensation;Enum;Ja;PainCompensation;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Føler du at din arbeidsgiver ønsker deg tilbake i jobb?;Person.ProfessionWantedBack;Enum;Ja;ProfessionWantedBack;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Arbeidsbelastning;Person.PainCausesWork;Avkrysning;Ja;PainCausesWork;v1.0
Hjemmebelastning;Person.PainCausesHome;Avkrysning;Ja;PainCausesHome;v1.0
Følelsesmessig belastning;Person.PainCausesMental;Avkrysning;Ja;PainCausesMental;v1.0
Fritidsaktivitet;Person.PainCausesLeisure;Avkrysning;Ja;PainCausesLeisure;v1.0
Skade i skjelett;Person.PainCausesSkeleton;Avkrysning;Ja;PainCausesSkeleton;v1.0
Skade i muskulatur;Person.PainCausesMuscle;Avkrysning;Ja;PainCausesMuscle;v1.0
Skade i nerve;Person.PainCausesNerve;Avkrysning;Ja;PainCausesNerve;v1.0
Feilbehandling;Person.PainCausesWrongTreatmen;Avkrysning;Ja;PainCausesWrongTreatmen;v1.0
Vet ikke;Person.PainCausesUknown;Avkrysning;Ja;PainCausesUknown;v1.0
Andre årsaker;Person.PainCausesOther;Text;Nei;PainCausesOther;v1.0
Røyker du daglig?;Person.Smoking;Enum;Ja;Smoking;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Smertene i hvile;Person.PainExperiencesNoActivity;Numerisk (heltall);Nei;PainExperiencesNoActivity;v1.0
Smertene i aktivitet;Person.PainExperiencesActivity;Numerisk (heltall);Nei;PainExperiencesActivity;v1.0
Smertestillende på resept;Person.PainMedicinePrescription;Enum;Ja;PainMedicinePrescription;v1.0
;0 = Ikke svart;;;;
;1 = Ikke brukt siste 4 uker;;;;
;2 = Sjeldnere enn hver uke;;;;
;3 = Hver uke men ikke daglig;;;;
;4 = Daglig;;;;
Smertestillende uten resept;Person.PainMedicineNoPrescription;Enum;Ja;PainMedicineNoPrescription;v1.0
;0 = Ikke svart;;;;
;1 = Ikke brukt siste 4 uker;;;;
;2 = Sjeldnere enn hver uke;;;;
;3 = Hver uke men ikke daglig;;;;
;4 = Daglig;;;;
Hvordan er aktivitetsnivået når det gjelder trening/bevegelse/kroppslige anstrengelser i din fritid? Hvis aktiviteten varier mye f.eks. mellom sommer og vinter, så ta et gjennomsnitt. NB! spørsmålet gjelder bare det siste året.;Person.PhysicalActivity;Enum;Ja;PhysicalActivity;v1.0
;0 = Ikke svart;;;;
;1 = Min fritid består hovedsakelig av å lese, se på TV eller annen stillesittende beskjeftigelse;;;;
;2 = Jeg spaserer, sykler eller beveger meg på annen måte minst 4 timer i uken. Herunder medregnes gange/sykling til arbeidssted, søndagsturer etc.;;;;
;3 = Jeg driver mosjonsidrett, tyngre hagearbeid eller lignende. (Virksomheten skal vare minst 4 timer i uken);;;;
;4 = Jeg trener hardt eller driver konkurranseidrett, regelmessig og flere ganger i uken.;;;;
Har du vært til annen behandling for dine aktuelle plager?;Person.TreatmentEarlierOther;Enum;Ja;TreatmentEarlierOther;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Trening hos fysioterapeut;Person.TreatmentEarlierPhysioTherapist;Enum;Ja;TreatmentEarlierPhysioTherapist;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Annen behandling hos fysioterapeut. (massasje, varmepakninger, elektroterapi etc);Person.TreatmentEarlierPhysioTherapistOther;Enum;Ja;TreatmentEarlierPhysioTherapistOther;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Manuell terapi;Person.TreatmentEarlierManuelTherapi;Enum;Ja;TreatmentEarlierManuelTherapi;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Psykomotorisk fysioterapi;Person.TreatmentEarlierPcykomotorTherapist;Enum;Ja;TreatmentEarlierPcykomotorTherapist;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Kiropraktor;Person.TreatmentEarlierChiropractor;Enum;Ja;TreatmentEarlierChiropractor;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Operasjon;Person.TreatmentEarlierOperation;Enum;Ja;TreatmentEarlierOperation;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Annen behandling;Person.TreatmentEarlierOtherTreatment;Enum;Ja;TreatmentEarlierOtherTreatment;v1.0
;0 = Ikke aktuelt;;;;
;1 = Bedre;;;;
;2 = Uendret;;;;
;3 = Forverring;;;;
Annet (angi hva);Person.TreatmentEarlierOtherText;Text;Nei;TreatmentEarlierOtherText;v1.0
PasientConcentDate;Person.PasientConcentDate;Dato/Tid;Nei;PasientConcentDate;v1.0
PasientRegistrationImportDate;Person.PasientRegistrationImportDate;Dato/Tid;Nei;PasientRegistrationImportDate;v1.0
Smerte;ODI.Pain;Enum;Ja;OdiPain;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har ingen smerter for øyeblikket;;;;
;2 = Smertene er veldig svake for øyeblikket;;;;
;3 = Smertene er moderate for øyeblikket;;;;
