Feltnavn;Variabelnavn;Felttype;Obligatorisk;DataDumpnavn;Gyldighet
FollowUpFormSentToPatient;FollowUpFormSentToPatient;Dato/Tid;Nei;FollowUpFormSentToPatient;v1.0
Besøksdato;S1b_DateOfCompletion;Dato/Tid;Nei;S1b_DateOfCompletion;v1.0
I arbeid;Working;Avkrysning;Ja;Working;v1.0
Status prosent;WorkingPercent;Numerisk (heltall);Nei;WorkingPercent;v1.0
Arbeidsledig;Unemployed;Avkrysning;Ja;Unemployed;v1.0
Sykemeldt;SickLeave;Avkrysning;Ja;SickLeave;v1.0
% sykemeldt;SickLeave_percent;Numerisk (heltall);Nei;SickLeave_percent;v1.0
Hjemmeværende (ulønnet);Stay_at_home;Avkrysning;Ja;Stay_at_home;v1.0
Student/skoleelev;Student;Avkrysning;Ja;Student;v1.0
Arbeidsavklaringspenger;NAV;Avkrysning;Ja;NAV;v1.0
Alderspensjonist;RetirementPension;Avkrysning;Ja;RetirementPension;v1.0
Permanent uførepensjon;Pension;Avkrysning;Ja;Pension;v1.0
% uføretrygdet;Pension_percent;Numerisk (heltall);Nei;Pension_percent;v1.0
Tidligere operert i rygg;BackSurgery;Enum;Ja;BackSurgery;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Tidligere operert i nakke;NeckSurgery;Enum;Ja;NeckSurgery;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Tidligere operert i bekken;PelvisSurgery;Enum;Ja;PelvisSurgery;v1.0
;0 = Ikke utfylt;;;;
;1 = Ja;;;;
;2 = Nei;;;;
;3 = Ukjent;;;;
Mistanke om alvorlig sykdom?;SeriousIllnes;Avkrysning;Ja;SeriousIllnes;v1.0
Har pasienten vært sykemeldt for samme eller lignende plager i løpet av de to siste år?;PrevSickLeave;Enum;Ja;PrevSickLeave;v1.0
;0 = Ikke utfylt;;;;
;1 = Nei;;;;
;2 = 1 gang;;;;
;3 = 2 - 5 ganger;;;;
;4 = 6 - 10 ganger;;;;
;5 = Flere enn 10 ganger;;;;
Nøyaktig dag er ukjent, angi måned;CurrentRehabStartIsMonth;Avkrysning;Ja;CurrentRehabStartIsMonth;v1.0
Angi startdato for siste sykemeldingsperiode for aktuell plage.;CurrentRehabStartDate;Dato/Tid;Nei;CurrentRehabStartDate;v1.0
CurrentRehabStartMonth;CurrentRehabStartMonth;Dato/Tid;Nei;CurrentRehabStartMonth;v1.0
Lege;FirstMedExamDoctor;Avkrysning;Ja;FirstMedExamDoctor;v1.0
Sykepleier;FirstMedExamNurse;Avkrysning;Ja;FirstMedExamNurse;v1.0
Fysioterapeut;FirstMedExamPhys;Avkrysning;Ja;FirstMedExamPhys;v1.0
Annen faggruppe;FirstMedExamOther;Avkrysning;Ja;FirstMedExamOther;v1.0
Bruker ikke smertestillende;MedicationNone;Avkrysning;Ja;MedicationNone;v1.0
A-preparat;MedicationA;Avkrysning;Ja;MedicationA;v1.0
MedicationAFrequency;MedicationAFrequency;Enum;Ja;MedicationAFrequency;v1.2
;0 = Ikke utfylt;;;;
;1 = Daglig;;;;
;2 = Sjeldnere enn daglig;;;;
